,from,to,weight,correlation
135,TP63,TAGLN2,54.47567275214397,red
136,NR6A1,TAGLN2,53.39274944894629,red
137,GATA2,FLNA,52.75946703191492,red
138,TP63,FLNA,136.84051284406505,red
139,GATA2,GATA3,164.12127800373767,red
140,CDX4,NGFR,264.1331578818944,red
141,SP5,NGFR,97.37902779143118,red
142,ZEB2,RGMA,62.73768676913127,red
143,TP63,NECTIN1,66.63389043928059,red
144,GATA2,TRIL,59.42350992117064,red
145,TP63,TRIL,62.21616119759615,red
146,GATA3,TRIL,75.03373608398472,red
147,GATA2,S100A10,74.13871624936998,red
148,TP63,S100A10,89.21549876932073,red
149,GATA3,S100A10,56.22110026158857,red
150,SOX17,CHP1,53.93859081762701,red
151,GATA2,HIC2,76.43431847829119,red
152,TFAP2C,HIC2,66.10890277585405,red
153,GATA2,PTBP1,92.29702527881564,red
154,GATA2,CRABP2,83.88358522270612,blue
155,OTX1,CRABP2,52.763897168981885,red
156,FOXA1,GJB1,90.6789351517446,red
157,TP63,S100A11,76.57593017426242,red
158,NEUROG1,INSM1,143.74677541330786,red
159,GATA2,KRT8,132.67157557454357,red
160,OTX1,LHX5,84.97945881169876,red
161,ZIC1,LHX5,57.44566079042019,red
162,PITX1,CLCA4,62.400780121659054,red
163,TP63,CLCA4,64.10438899405406,red
164,GATA2,TACSTD2,69.41515893248612,red
165,OTX2,OTX1,173.00271619840726,red
166,TCF7L1,OTX1,78.23051083153095,red
167,LHX5,OTX1,52.105378449197744,red
168,HESX1,OTX1,54.17943351683236,red
169,GATA2,UGDH,135.091944965991,red
170,GATA3,UGDH,62.82282559605132,red
171,NEUROG1,DBN1,80.65313590396518,red
172,LHX2,GLDC,52.44553810121614,red
173,CDX4,PYGB,56.72747406071844,red
174,LHX2,PCNA,53.23549544127509,red
175,TFAP2C,PCNA,52.04544149745137,blue
176,GATA2,MYH9,54.07596180688472,red
177,TP63,MYH9,79.98207899718328,red
178,GATA2,TLL2,158.5665806396697,red
179,TP63,TLL2,85.6775052441673,red
180,GATA3,TLL2,87.1546417637348,red
181,NEUROG1,NOTCH1,53.49580473367753,red
182,EBF3,NEUROG1,73.19620297143169,red
183,INSM1,NEUROG1,101.45294064256127,red
184,POU4F3,NEUROG1,61.84998992699271,red
185,ISL1,NEUROG1,72.44515369183021,red
186,GATA4,CNDP2,61.40599556593569,red
187,GATA2,SOX3,64.97064670362597,blue
188,TFAP2C,SOX3,99.4966858288042,blue
189,GATA2,CTBS,89.9004365196485,red
190,GATA3,CTBS,87.26407532832387,red
191,POU3F1,VIM,50.4143814014888,red
192,GATA2,ZIC1,124.60535380399068,blue
193,ZIC3,ZIC1,165.53160301877378,red
194,ZIC2,ZIC1,87.88466281726973,red
195,FOXI1,NR6A1,65.89185945167243,blue
196,GATA2,ZIC3,134.3134629072744,blue
197,ZIC1,ZIC3,132.67730361412737,red
198,OTX1,MEIS2,72.13220118879048,blue
199,NR6A1,CADM1,54.67295920865441,red
200,GATA2,KRT18,66.58039091245685,red
201,GATA2,OLFM4,179.61657758047747,red
202,TFAP2C,OLFM4,99.77470475368388,red
203,TP63,OLFM4,54.59530435744629,red
204,GATA3,OLFM4,70.0367870349816,red
205,ZEB2,OLFM4,84.23336643369058,blue
206,LHX2,RRM2,56.94355021784743,red
207,TFAP2C,RRM2,50.08056273170837,blue
208,GATA2,PMM1,81.08522377418551,red
209,TP63,PMM1,53.59903073168874,red
210,GATA2,ELAVL3,53.072434797658005,blue
211,NEUROG1,ELAVL3,150.22181374393926,red
212,ZEB2,ELAVL3,84.1281742328715,red
213,GATA2,CAPN8,75.95651243480945,red
214,GATA2,ROR2,64.63376832361226,blue
215,ZEB2,ROR2,55.78891447779597,red
216,SOX9,C9,59.06067872968579,red
217,SOX8,C9,54.55468138639491,red
218,PAX8,C9,83.83899010297472,red
219,SNAI2,SOX9,185.53220731285657,red
220,SOX8,SOX9,81.52499055212049,red
221,GATA2,MEX3B,50.07305426404,blue
222,GATA2,PAX3,53.36937178853462,blue
223,SOX9,PAX3,59.91494299048527,red
224,OTX1,OTX2,152.83132879002775,red
225,TCF7L1,OTX2,58.234967628220765,red
226,NR6A1,SERBP1,53.594604603187726,red
227,RAX,HESX1,54.13686646671293,red
228,PAX6,HESX1,69.55832378695354,red
229,HMGB1,HNRNPK,53.45976607359493,red
230,NEUROG1,ZC3H12C,104.19936356034832,red
231,LHX2,EFNB2,84.7469425648601,red
232,RAX,EFNB2,58.76189861574922,red
233,SP5,POU5F1,70.90276102589716,red
234,PAX6,POU5F1,75.23376713513782,blue
235,CDX4,SP5,104.8758760179336,red
236,POU5F1,SP5,72.67361088906671,red
237,SNAI2,C3,73.88968791789075,red
238,SOX9,C3,98.02790711266644,red
239,NKX6-2,PTCH1,52.273195086603245,red
240,SP5,CDX4,131.71699402013112,red
241,SOX9,NID2,51.751004231893525,red
242,LHX2,RAX,261.7088964251822,red
243,PAX6,RAX,76.2394479152198,red
244,GATA2,ZIC2,81.57361666100007,blue
245,ZIC3,ZIC2,51.31921359510169,red
246,ZIC1,ZIC2,89.8582659096053,red
247,ZEB2,CEP131,52.66154399979733,red
248,GATA2,TET3,73.16127734992938,blue
249,ZEB2,TET3,58.39704534908589,red
250,SALL2,TET3,64.09382357139484,red
251,LHX2,CSGALNACT2,58.007296179169686,red
252,PAX6,CSGALNACT2,74.76631179234636,red
253,ZIC3,FOXD3,51.018214268652535,red
254,ZEB2,FOXD3,58.23342030023995,red
255,NEUROG1,TUBB2B,86.6350101542248,red
256,EBF3,TUBB2B,117.09774923280824,red
257,RAX,LHX2,234.58653037915352,red
258,PAX6,LHX2,94.90401469755436,red
259,SALL2,MSI1,69.17992688813209,red
260,GATA2,AKAP12,117.63285746537169,blue
261,ZEB2,AKAP12,74.3197063701544,red
262,SALL2,AKAP12,53.26558407445286,red
263,NEUROG1,SRRM4,95.28076214246232,red
264,TFAP2C,SALL2,82.04870107496288,blue
265,PAX6,SALL2,61.17016517264145,red
266,LHX2,HS3ST3B1,55.66759414504689,red
267,LHX2,ZBTB16,68.80091879706416,red
268,PAX6,ZBTB16,63.01883222431999,red
